StateAbbr,PlaceName,PlaceFIPS,Population2010,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI,Geolocation,UseForStateMap_GEO_ID,UseForStateMap_StateNumber,UseForStateMap_StateName,UseForStateMap_CityName
AL,Birmingham,"107000","212,237","12.2","(12.1, 12.3)","12.1","(12.0, 12.2)","41.5","(41.3, 41.6)","41.8","(41.7, 42.0)","(33.52756637730, -86.7988174678)",0400000US01,"1",Alabama,Tuscaloosa
AL,Hoover,"135896","81,619","9.2","( 9.1,  9.3)","9.2","( 9.1,  9.3)","32.9","(32.6, 33.3)","32.8","(32.5, 33.2)","(33.37676027290, -86.8051937568)",0400000US01,"1",Alabama,Tuscaloosa
AL,Huntsville,"137000","180,105","10.9","(10.8, 11.0)","10.8","(10.7, 10.9)","37.8","(37.6, 38.1)","38.3","(38.1, 38.6)","(34.69896926710, -86.6387042882)",0400000US01,"1",Alabama,Tuscaloosa
AL,Mobile,"150000","195,111","11.5","(11.4, 11.6)","11.5","(11.4, 11.6)","39.1","(39.0, 39.3)","39.7","(39.5, 39.9)","(30.67762486480, -88.1184482714)",0400000US01,"1",Alabama,Tuscaloosa
AL,Montgomery,"151000","205,764","11.5","(11.4, 11.6)","11.4","(11.3, 11.5)","38","(37.7, 38.2)","38.1","(37.9, 38.4)","(32.34726453330, -86.2677059552)",0400000US01,"1",Alabama,Tuscaloosa
AL,Tuscaloosa,"177256","90,468","11.4","(11.2, 11.6)","11.2","(11.0, 11.3)","39","(38.5, 39.5)","41","(40.7, 41.4)","(33.23360839510, -87.5268004073)",0400000US01,"1",Alabama,Tuscaloosa
AK,Anchorage,"203000","291,826","9","( 9.0,  9.1)","8.9","( 8.8,  8.9)","31.3","(31.1, 31.5)","30.7","(30.5, 30.9)","(61.14986873100, -149.111113424)",0400000US02,"2",Alaska,Anchorage
AZ,Avondale,"404720","76,238","10.5","(10.4, 10.6)","10.3","(10.2, 10.5)","38.1","(37.8, 38.4)","37.3","(37.0, 37.5)","(33.38583674050, -112.323626619)",0400000US04,"4",Arizona,Yuma
AZ,Chandler,"412000","236,123","9.9","( 9.8, 10.0)","9.8","( 9.7,  9.9)","35.2","(35.0, 35.4)","34.4","(34.2, 34.6)","(33.28318981000, -111.852210033)",0400000US04,"4",Arizona,Yuma
AZ,Gilbert,"427400","208,453","9.9","( 9.8, 10.0)","9.7","( 9.7,  9.8)","34.8","(34.5, 35.0)","33.6","(33.4, 33.8)","(33.31014939200, -111.746237467)",0400000US04,"4",Arizona,Yuma
AZ,Glendale,"427820","226,721","10.8","(10.7, 10.9)","10.7","(10.6, 10.7)","37.3","(37.2, 37.5)","37.1","(36.9, 37.3)","(33.57961230890, -112.225306421)",0400000US04,"4",Arizona,Yuma
AZ,Mesa,"446000","439,041","10.6","(10.5, 10.6)","10.6","(10.5, 10.6)","35.5","(35.4, 35.6)","36","(35.9, 36.1)","(33.40228373590, -111.718721181)",0400000US04,"4",Arizona,Yuma
AZ,Peoria,"454050","154,065","10.2","(10.1, 10.3)","10.2","(10.1, 10.3)","34.5","(34.2, 34.7)","34.8","(34.6, 35.0)","(33.78472064220, -112.298680584)",0400000US04,"4",Arizona,Yuma
AZ,Phoenix,"455000","1,445,632","10.6","(10.6, 10.6)","10.5","(10.5, 10.5)","37.3","(37.2, 37.4)","36.8","(36.7, 36.8)","(33.57241386950, -112.088995222)",0400000US04,"4",Arizona,Yuma
AZ,Scottsdale,"465000","217,385","9.6","( 9.5,  9.6)","9.7","( 9.6,  9.7)","31.4","(31.2, 31.6)","32.3","(32.1, 32.6)","(33.68724936510, -111.865085877)",0400000US04,"4",Arizona,Yuma
AZ,Surprise,"471510","117,517","10.2","(10.1, 10.3)","10.3","(10.2, 10.5)","34.2","(33.9, 34.5)","35.3","(35.0, 35.6)","(33.68038351770, -112.452218439)",0400000US04,"4",Arizona,Yuma
AZ,Tempe,"473000","161,719","10.4","(10.3, 10.6)","10.1","(10.0, 10.2)","35","(34.7, 35.3)","35.3","(35.0, 35.6)","(33.38826403070, -111.931802302)",0400000US04,"4",Arizona,Yuma
AZ,Tucson,"477000","520,116","10.3","(10.2, 10.3)","10.1","(10.1, 10.2)","34.2","(34.1, 34.4)","34.6","(34.5, 34.8)","(32.15672444830, -110.877085494)",0400000US04,"4",Arizona,Yuma
AZ,Yuma,"485540","93,064","9.8","( 9.7, 10.0)","9.8","( 9.7,  9.9)","31.3","(31.0, 31.5)","31.8","(31.5, 32.0)","(32.59860271170, -114.548368370)",0400000US04,"4",Arizona,Yuma
