StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
New Jersey,Newark,"Newark, New Jersey",50.1,14.2,38.4,0.538
Michigan,Detroit,"Detroit, Michigan",48.5,17.4,35.4,0.439
New Jersey,Trenton,"Trenton, New Jersey",46,13.3,38.4,0.538
New Jersey,Camden,"Camden, New Jersey",45.4,13.5,38.4,0.538
New Jersey,Paterson,"Paterson, New Jersey",45.3,12.5,38.4,0.538
Ohio,Youngstown,"Youngstown, Ohio",45,14.3,35.5,0.443
Massachusetts,Brockton,"Brockton, Massachusetts",44.3,15,37.5,0.508
New Hampshire,Nashua,"Nashua, New Hampshire",44.2,12.3,36,0.459
Michigan,Flint,"Flint, Michigan",44,17.5,35.4,0.439
New Jersey,Jersey City,"Jersey City, New Jersey",43.9,12.6,38.4,0.538
Florida,West Palm Beach,"West Palm Beach, Florida",43.9,12,36.9,0.489
Michigan,Farmington Hills,"Farmington Hills, Michigan",43.8,10.8,35.4,0.439
New Jersey,Elizabeth,"Elizabeth, New Jersey",43.7,10.7,38.4,0.538
Florida,Lauderhill,"Lauderhill, Florida",43.6,12.6,36.9,0.489
Pennsylvania,Erie,"Erie, Pennsylvania",43.2,14.1,40.7,0.613
Ohio,Akron,"Akron, Ohio",43,13.8,35.5,0.443
New Jersey,Clifton,"Clifton, New Jersey",43,8.8,38.4,0.538
Ohio,Columbus,"Columbus, Ohio",43,14.7,35.5,0.443
Ohio,Cincinnati,"Cincinnati, Ohio",42.8,17.3,35.5,0.443
Georgia,Augusta,"Augusta, Georgia",42.6,12.9,37.2,0.498
Maryland,Baltimore,"Baltimore, Maryland",42.4,15.6,39.8,0.584
Virginia,Norfolk,"Norfolk, Virginia",42.4,17,29.7,0.252
New Jersey,Passaic,"Passaic, New Jersey",42.4,9.9,38.4,0.538
New York,Albany,"Albany, New York",42.2,13.8,32.6,0.348
Ohio,Canton,"Canton, Ohio",42.2,14.1,35.5,0.443
Indiana,Gary,"Gary, Indiana",42.2,14.6,35.5,0.443
Ohio,Cleveland,"Cleveland, Ohio",42.1,17.8,35.5,0.443
Michigan,Dearborn,"Dearborn, Michigan",41.8,14.5,35.4,0.439
Louisiana,Lake Charles,"Lake Charles, Louisiana",41.8,12.8,35,0.426
Connecticut,Waterbury,"Waterbury, Connecticut",41.8,14,38.4,0.538
Georgia,Savannah,"Savannah, Georgia",41.5,14.1,37.2,0.498
New Jersey,Union City,"Union City, New Jersey",41.5,8.8,38.4,0.538
Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",41.4,16.3,40.7,0.613
New York,Buffalo,"Buffalo, New York",41.2,15.8,32.6,0.348
Georgia,Atlanta,"Atlanta, Georgia",41.1,14.5,37.2,0.498
Florida,Largo,"Largo, Florida",41.1,10.4,36.9,0.489
Pennsylvania,Reading,"Reading, Pennsylvania",41,11.9,40.7,0.613
Virginia,Roanoke,"Roanoke, Virginia",41,13.2,29.7,0.252
Nevada,Las Vegas,"Las Vegas, Nevada",40.9,13.6,38.1,0.528
New York,Schenectady,"Schenectady, New York",40.9,13.3,32.6,0.348
Georgia,Warner Robins,"Warner Robins, Georgia",40.9,11.7,37.2,0.498
Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania",40.8,15.2,40.7,0.613
Georgia,Albany,"Albany, Georgia",40.6,13.5,37.2,0.498
Georgia,Johns Creek,"Johns Creek, Georgia",40.6,7.8,37.2,0.498
Florida,Miami Gardens,"Miami Gardens, Florida",40.6,11.3,36.9,0.489
South Carolina,North Charleston,"North Charleston, South Carolina",40.6,12.8,35.6,0.446
Indiana,Hammond,"Hammond, Indiana",40.5,12.5,35.5,0.443
Massachusetts,Lynn,"Lynn, Massachusetts",40.5,13.1,37.5,0.508
Tennessee,Memphis,"Memphis, Tennessee",40.5,15.7,36.9,0.489
Virginia,Newport News,"Newport News, Virginia",40.4,13.4,29.7,0.252
Rhode Island,Providence,"Providence, Rhode Island",40.4,14.8,34.3,0.403
New York,Rochester,"Rochester, New York",40.3,15.9,32.6,0.348
Connecticut,Stamford,"Stamford, Connecticut",40.3,10.8,38.4,0.538
Delaware,Wilmington,"Wilmington, Delaware",40.3,14.6,41.3,0.633
Florida,Miami Beach,"Miami Beach, Florida",40.2,7.4,36.9,0.489
Alabama,Mobile,"Mobile, Alabama",40.2,17,38.3,0.534
Tennessee,Chattanooga,"Chattanooga, Tennessee",40.1,15.6,36.9,0.489
Ohio,Dayton,"Dayton, Ohio",40.1,17.5,35.5,0.443
Virginia,Hampton,"Hampton, Virginia",40.1,15,29.7,0.252
Indiana,Muncie,"Muncie, Indiana",40.1,13.8,35.5,0.443
Rhode Island,Pawtucket,"Pawtucket, Rhode Island",40.1,15,34.3,0.403
Virginia,Portsmouth,"Portsmouth, Virginia",40.1,15.1,29.7,0.252
California,San Bernardino,"San Bernardino, California",39.9,13.3,49.1,0.889
Connecticut,Bridgeport,"Bridgeport, Connecticut",39.8,14.7,38.4,0.538
Massachusetts,Fall River,"Fall River, Massachusetts",39.8,14.5,37.5,0.508
Virginia,Richmond,"Richmond, Virginia",39.8,15.9,29.7,0.252
California,Chino,"Chino, California",39.7,9.4,49.1,0.889
California,Perris,"Perris, California",39.7,10.4,49.1,0.889
Georgia,Columbus,"Columbus, Georgia",39.6,14.1,37.2,0.498
California,Hawthorne,"Hawthorne, California",39.6,11.4,49.1,0.889
Florida,Miramar,"Miramar, Florida",39.6,11,36.9,0.489
Pennsylvania,Allentown,"Allentown, Pennsylvania",39.5,12.1,40.7,0.613
California,Inglewood,"Inglewood, California",39.5,11.7,49.1,0.889
New York,New York,"New York, New York",39.4,14.3,32.6,0.348
Ohio,Parma,"Parma, Ohio",39.4,10,35.5,0.443
Michigan,Warren,"Warren, Michigan",39.4,13.3,35.4,0.439
Massachusetts,Lawrence,"Lawrence, Massachusetts",39.3,12.1,37.5,0.508
Kentucky,Lexington,"Lexington, Kentucky",39.3,13.4,39.1,0.561
Pennsylvania,Bethlehem,"Bethlehem, Pennsylvania",39.2,11.6,40.7,0.613
Michigan,Kalamazoo,"Kalamazoo, Michigan",39.2,14.8,35.4,0.439
California,Moreno Valley,"Moreno Valley, California",39.2,10.8,49.1,0.889
Minnesota,St. Paul,"St. Paul, Minnesota",39.2,11.7,31.6,0.315
Hawaii,Honolulu,"Honolulu, Hawaii",39.1,13.1,52.5,1
California,Vallejo,"Vallejo, California",39.1,11.3,49.1,0.889
Alabama,Birmingham,"Birmingham, Alabama",39,15,38.3,0.534
Missouri,Kansas City,"Kansas City, Missouri",39,12.9,35.8,0.452
Louisiana,New Orleans,"New Orleans, Louisiana",38.9,16.1,35,0.426
Virginia,Chesapeake,"Chesapeake, Virginia",38.8,13.5,29.7,0.252
Georgia,Macon,"Macon, Georgia",38.8,13.3,37.2,0.498
California,Rialto,"Rialto, California",38.8,10.6,49.1,0.889
Louisiana,Baton Rouge,"Baton Rouge, Louisiana",38.7,12.9,35,0.426
California,Hemet,"Hemet, California",38.7,11,49.1,0.889
Connecticut,New Britain,"New Britain, Connecticut",38.7,14,38.4,0.538
Massachusetts,Springfield,"Springfield, Massachusetts",38.7,13.9,37.5,0.508
Colorado,Westminster,"Westminster, Colorado",38.7,11.3,36.4,0.472
California,Apple Valley,"Apple Valley, California",38.6,10.3,49.1,0.889
Florida,Port St. Lucie,"Port St. Lucie, Florida",38.6,9.5,36.9,0.489
Connecticut,Danbury,"Danbury, Connecticut",38.5,12.1,38.4,0.538
Mississippi,Gulfport,"Gulfport, Mississippi",38.5,13.1,35.8,0.452
Kansas,Wichita,"Wichita, Kansas",38.5,13.2,32.6,0.348
Nevada,Henderson,"Henderson, Nevada",38.4,11.9,38.1,0.528
Kentucky,Louisville,"Louisville, Kentucky",38.4,16.2,39.1,0.561
North Carolina,Greenville,"Greenville, North Carolina",38.3,13.4,36.6,0.479
Connecticut,Hartford,"Hartford, Connecticut",38.3,15.4,38.4,0.538
Alabama,Montgomery,"Montgomery, Alabama",38.3,14.7,38.3,0.534
Michigan,Southfield,"Southfield, Michigan",38.3,13.6,35.4,0.439
Virginia,Suffolk,"Suffolk, Virginia",38.3,13.2,29.7,0.252
Wisconsin,Racine,"Racine, Wisconsin",38.2,12.8,35.7,0.449
California,Clovis,"Clovis, California",38.1,10.8,49.1,0.889
California,Corona,"Corona, California",38.1,9.4,49.1,0.889
Florida,Deltona,"Deltona, Florida",38.1,9.2,36.9,0.489
California,Glendale,"Glendale, California",38.1,10.5,49.1,0.889
Georgia,Athens,"Athens, Georgia",38,12,37.2,0.498
California,Bellflower,"Bellflower, California",38,9.9,49.1,0.889
Tennessee,Clarksville,"Clarksville, Tennessee",38,13.4,36.9,0.489
Indiana,Fort Wayne,"Fort Wayne, Indiana",38,14.3,35.5,0.443
New York,Syracuse,"Syracuse, New York",38,16.6,32.6,0.348
Texas,Waco,"Waco, Texas",38,12.1,32.9,0.357
California,Baldwin Park,"Baldwin Park, California",37.9,8.8,49.1,0.889
California,El Cajon,"El Cajon, California",37.9,11.2,49.1,0.889
Tennessee,Knoxville,"Knoxville, Tennessee",37.9,13.7,36.9,0.489
Massachusetts,Lowell,"Lowell, Massachusetts",37.9,12.7,37.5,0.508
Tennessee,Murfreesboro,"Murfreesboro, Tennessee",37.9,12,36.9,0.489
California,South Gate,"South Gate, California",37.9,9.6,49.1,0.889
Florida,Sunrise,"Sunrise, Florida",37.9,11.8,36.9,0.489
California,Vacaville,"Vacaville, California",37.9,10.1,49.1,0.889
Florida,Clearwater,"Clearwater, Florida",37.8,12,36.9,0.489
North Carolina,Durham,"Durham, North Carolina",37.8,14.2,36.6,0.479
North Carolina,Fayetteville,"Fayetteville, North Carolina",37.8,13.8,36.6,0.479
Florida,Lakeland,"Lakeland, Florida",37.8,12.3,36.9,0.489
California,Sacramento,"Sacramento, California",37.8,12.5,49.1,0.889
Rhode Island,Cranston,"Cranston, Rhode Island",37.7,12.3,34.3,0.403
Alabama,Huntsville,"Huntsville, Alabama",37.7,15.9,38.3,0.534
California,Indio,"Indio, California",37.7,9.8,49.1,0.889
Florida,Jacksonville,"Jacksonville, Florida",37.7,14.4,36.9,0.489
Wisconsin,Milwaukee,"Milwaukee, Wisconsin",37.7,15.4,35.7,0.449
California,Oceanside,"Oceanside, California",37.7,9.9,49.1,0.889
California,Oxnard,"Oxnard, California",37.7,10.9,49.1,0.889
Virginia,Alexandria,"Alexandria, Virginia",37.6,10.5,29.7,0.252
California,Bakersfield,"Bakersfield, California",37.6,11.9,49.1,0.889
Michigan,Grand Rapids,"Grand Rapids, Michigan",37.6,13.9,35.4,0.439
North Carolina,Jacksonville,"Jacksonville, North Carolina",37.6,11.9,36.6,0.479
Louisiana,Lafayette,"Lafayette, Louisiana",37.6,13.8,35,0.426
New York,Mount Vernon,"Mount Vernon, New York",37.6,13.4,32.6,0.348
Michigan,Lansing,"Lansing, Michigan",37.4,12.9,35.4,0.439
Arkansas,Little Rock,"Little Rock, Arkansas",37.4,12.3,37.1,0.495
New York,New Rochelle,"New Rochelle, New York",37.4,11.3,32.6,0.348
Nevada,North Las Vegas,"North Las Vegas, Nevada",37.4,14.8,38.1,0.528
California,Ontario,"Ontario, California",37.4,9.5,49.1,0.889
California,Redwood City,"Redwood City, California",37.4,9.2,49.1,0.889
Georgia,Sandy Springs,"Sandy Springs, Georgia",37.4,9.7,37.2,0.498
Michigan,Westland,"Westland, Michigan",37.4,12.4,35.4,0.439
Texas,El Paso,"El Paso, Texas",37.3,9.6,32.9,0.357
Florida,Fort Lauderdale,"Fort Lauderdale, Florida",37.3,13.5,36.9,0.489
Indiana,Indianapolis,"Indianapolis, Indiana",37.3,15.5,35.5,0.443
Louisiana,Kenner,"Kenner, Louisiana",37.3,11.8,35,0.426
California,Lancaster,"Lancaster, California",37.3,11.5,49.1,0.889
Florida,Pompano Beach,"Pompano Beach, Florida",37.3,13,36.9,0.489
Arizona,Avondale,"Avondale, Arizona",37.2,11.4,47.2,0.826
California,Long Beach,"Long Beach, California",37.2,13.4,49.1,0.889
Florida,Orlando,"Orlando, Florida",37.2,12.6,36.9,0.489
Florida,St. Petersburg,"St. Petersburg, Florida",37.2,12.5,36.9,0.489
California,Temecula,"Temecula, California",37.2,9.2,49.1,0.889
South Carolina,Columbia,"Columbia, South Carolina",37.1,14.4,35.6,0.446
Virginia,Lynchburg,"Lynchburg, Virginia",37.1,12.2,29.7,0.252
California,Pomona,"Pomona, California",37.1,11.6,49.1,0.889
