StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
Florida,West Palm Beach,"West Palm Beach, Florida",43.9,12,36.9,0.489
Florida,Lauderhill,"Lauderhill, Florida",43.6,12.6,36.9,0.489
Georgia,Augusta,"Augusta, Georgia",42.6,12.9,37.2,0.498
Maryland,Baltimore,"Baltimore, Maryland",42.4,15.6,39.8,0.584
Virginia,Norfolk,"Norfolk, Virginia",42.4,17,29.7,0.252
Louisiana,Lake Charles,"Lake Charles, Louisiana",41.8,12.8,35,0.426
Georgia,Savannah,"Savannah, Georgia",41.5,14.1,37.2,0.498
Georgia,Atlanta,"Atlanta, Georgia",41.1,14.5,37.2,0.498
Florida,Largo,"Largo, Florida",41.1,10.4,36.9,0.489
Virginia,Roanoke,"Roanoke, Virginia",41,13.2,29.7,0.252
Georgia,Warner Robins,"Warner Robins, Georgia",40.9,11.7,37.2,0.498
Georgia,Albany,"Albany, Georgia",40.6,13.5,37.2,0.498
Georgia,Johns Creek,"Johns Creek, Georgia",40.6,7.8,37.2,0.498
Florida,Miami Gardens,"Miami Gardens, Florida",40.6,11.3,36.9,0.489
South Carolina,North Charleston,"North Charleston, South Carolina",40.6,12.8,35.6,0.446
Tennessee,Memphis,"Memphis, Tennessee",40.5,15.7,36.9,0.489
Virginia,Newport News,"Newport News, Virginia",40.4,13.4,29.7,0.252
Delaware,Wilmington,"Wilmington, Delaware",40.3,14.6,41.3,0.633
Florida,Miami Beach,"Miami Beach, Florida",40.2,7.4,36.9,0.489
Alabama,Mobile,"Mobile, Alabama",40.2,17,38.3,0.534
Tennessee,Chattanooga,"Chattanooga, Tennessee",40.1,15.6,36.9,0.489
Virginia,Hampton,"Hampton, Virginia",40.1,15,29.7,0.252
Virginia,Portsmouth,"Portsmouth, Virginia",40.1,15.1,29.7,0.252
Virginia,Richmond,"Richmond, Virginia",39.8,15.9,29.7,0.252
Georgia,Columbus,"Columbus, Georgia",39.6,14.1,37.2,0.498
Florida,Miramar,"Miramar, Florida",39.6,11,36.9,0.489
Kentucky,Lexington,"Lexington, Kentucky",39.3,13.4,39.1,0.561
