StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
Texas,Waco,"Waco, Texas",38,12.1,32.9,0.357
Texas,El Paso,"El Paso, Texas",37.3,9.6,32.9,0.357
Arizona,Avondale,"Avondale, Arizona",37.2,11.4,47.2,0.826
Arizona,Gilbert,"Gilbert, Arizona",36.6,11.1,47.2,0.826
Texas,Beaumont,"Beaumont, Texas",36.4,12.7,32.9,0.357
Texas,Baytown,"Baytown, Texas",36.2,9.1,32.9,0.357
Arizona,Glendale,"Glendale, Arizona",36.2,12.4,47.2,0.826
Texas,Killeen,"Killeen, Texas",36.2,10.3,32.9,0.357
Texas,Edinburg,"Edinburg, Texas",36,8.7,32.9,0.357
Texas,Grand Prairie,"Grand Prairie, Texas",35.9,9.9,32.9,0.357
Texas,Houston,"Houston, Texas",35.8,13.5,32.9,0.357
Texas,Tyler,"Tyler, Texas",35.8,11.6,32.9,0.357
Texas,Laredo,"Laredo, Texas",35.7,9.3,32.9,0.357
Texas,Missouri City,"Missouri City, Texas",35.6,11.2,32.9,0.357
Texas,Brownsville,"Brownsville, Texas",35.4,9.2,32.9,0.357
Texas,Dallas,"Dallas, Texas",35.4,13.6,32.9,0.357
Texas,Longview,"Longview, Texas",35.4,11.1,32.9,0.357
Arizona,Mesa,"Mesa, Arizona",35.4,12.1,47.2,0.826
Texas,Amarillo,"Amarillo, Texas",35.3,11.5,32.9,0.357
Texas,Lewisville,"Lewisville, Texas",34.8,9.3,32.9,0.357
Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma",34.8,14.3,35.4,0.439
Arizona,Chandler,"Chandler, Arizona",34.7,11.2,47.2,0.826
Texas,Fort Worth,"Fort Worth, Texas",34.7,13.4,32.9,0.357
Texas,Garland,"Garland, Texas",34.7,10.2,32.9,0.357
Texas,Odessa,"Odessa, Texas",34.7,9.9,32.9,0.357
Arizona,Peoria,"Peoria, Arizona",34.7,11.8,47.2,0.826
Oklahoma,Lawton,"Lawton, Oklahoma",34.5,13.1,35.4,0.439
Arizona,Surprise,"Surprise, Arizona",34.5,10.8,47.2,0.826
Texas,Irving,"Irving, Texas",34.3,9.7,32.9,0.357
Arizona,Phoenix,"Phoenix, Arizona",34.3,13.1,47.2,0.826
New Mexico,Santa Fe,"Santa Fe, New Mexico",34.3,10.6,31.9,0.325
Arizona,Tempe,"Tempe, Arizona",34.3,12.2,47.2,0.826
Texas,Corpus Christi,"Corpus Christi, Texas",34.2,10,32.9,0.357
Texas,Denton,"Denton, Texas",34.2,10.8,32.9,0.357
Texas,McAllen,"McAllen, Texas",34,8.7,32.9,0.357
Oklahoma,Norman,"Norman, Oklahoma",34,12.6,35.4,0.439
Texas,San Angelo,"San Angelo, Texas",34,9.4,32.9,0.357
Texas,Arlington,"Arlington, Texas",33.9,10.4,32.9,0.357
Texas,Bryan,"Bryan, Texas",33.9,10.7,32.9,0.357
Texas,Round Rock,"Round Rock, Texas",33.8,9.1,32.9,0.357
Texas,McKinney,"McKinney, Texas",33.7,9.4,32.9,0.357
Texas,San Antonio,"San Antonio, Texas",33.7,11.2,32.9,0.357
Texas,College Station,"College Station, Texas",33.6,10.8,32.9,0.357
Texas,Lubbock,"Lubbock, Texas",33.5,11.8,32.9,0.357
Texas,Mission,"Mission, Texas",33.5,8.7,32.9,0.357
Arizona,Tucson,"Tucson, Arizona",33.4,12,47.2,0.826
Texas,Abilene,"Abilene, Texas",33.3,11.3,32.9,0.357
Texas,Allen,"Allen, Texas",33.3,8.8,32.9,0.357
Texas,Midland,"Midland, Texas",33.2,9.5,32.9,0.357
Texas,Pasadena,"Pasadena, Texas",33.2,8.8,32.9,0.357
Texas,Pharr,"Pharr, Texas",33.1,8.6,32.9,0.357
Texas,Frisco,"Frisco, Texas",33,8.5,32.9,0.357
Texas,League City,"League City, Texas",32.9,8.9,32.9,0.357
Texas,Wichita Falls,"Wichita Falls, Texas",32.9,12.3,32.9,0.357
Texas,Mesquite,"Mesquite, Texas",32.7,11.5,32.9,0.357
Oklahoma,Edmond,"Edmond, Oklahoma",32.6,11.8,35.4,0.439
Texas,Sugar Land,"Sugar Land, Texas",32.6,7.8,32.9,0.357
Texas,Pearland,"Pearland, Texas",32.5,9,32.9,0.357
Texas,Plano,"Plano, Texas",32.4,8.5,32.9,0.357
New Mexico,Albuquerque,"Albuquerque, New Mexico",32.1,12.2,31.9,0.325
Texas,Carrollton,"Carrollton, Texas",32.1,9.2,32.9,0.357
Arizona,Scottsdale,"Scottsdale, Arizona",31.6,10.8,47.2,0.826
Texas,Richardson,"Richardson, Texas",31.5,9.8,32.9,0.357
Oklahoma,Broken Arrow,"Broken Arrow, Oklahoma",31.4,11,35.4,0.439
New Mexico,Las Cruces,"Las Cruces, New Mexico",31.2,10.4,31.9,0.325
New Mexico,Rio Rancho,"Rio Rancho, New Mexico",31,10.8,31.9,0.325
Arizona,Yuma,"Yuma, Arizona",31,11.6,47.2,0.826
Oklahoma,Tulsa,"Tulsa, Oklahoma",30.9,14.2,35.4,0.439
Texas,Austin,"Austin, Texas",29.7,10.9,32.9,0.357
