StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
Nevada,Las Vegas,"Las Vegas, Nevada",40.9,13.6,38.1,0
California,San Bernardino,"San Bernardino, California",39.9,13.3,49.1,0.889
California,Chino,"Chino, California",39.7,9.4,49.1,0.889
California,Perris,"Perris, California",39.7,10.4,49.1,0.889
California,Hawthorne,"Hawthorne, California",39.6,11.4,49.1,0.889
California,Inglewood,"Inglewood, California",39.5,11.7,49.1,0.889
California,Moreno Valley,"Moreno Valley, California",39.2,10.8,49.1,0.889
Hawaii,Honolulu,"Honolulu, Hawaii",39.1,13.1,52.5,0.889
California,Vallejo,"Vallejo, California",39.1,11.3,49.1,0.889
California,Rialto,"Rialto, California",38.8,10.6,49.1,0.889
California,Hemet,"Hemet, California",38.7,11,49.1,0.889
Colorado,Westminster,"Westminster, Colorado",38.7,11.3,36.4,0.889
California,Apple Valley,"Apple Valley, California",38.6,10.3,49.1,0.889
Nevada,Henderson,"Henderson, Nevada",38.4,11.9,38.1,0.889
California,Clovis,"Clovis, California",38.1,10.8,49.1,0.889
California,Corona,"Corona, California",38.1,9.4,49.1,0.889
California,Glendale,"Glendale, California",38.1,10.5,49.1,0.889
California,Bellflower,"Bellflower, California",38,9.9,49.1,0.889
California,Baldwin Park,"Baldwin Park, California",37.9,8.8,49.1,0.889
California,El Cajon,"El Cajon, California",37.9,11.2,49.1,0.889
California,South Gate,"South Gate, California",37.9,9.6,49.1,0.889
California,Vacaville,"Vacaville, California",37.9,10.1,49.1,0.889
California,Sacramento,"Sacramento, California",37.8,12.5,49.1,0.889
California,Indio,"Indio, California",37.7,9.8,49.1,0.889
California,Oceanside,"Oceanside, California",37.7,9.9,49.1,0.889
California,Oxnard,"Oxnard, California",37.7,10.9,49.1,0.889
California,Bakersfield,"Bakersfield, California",37.6,11.9,49.1,0.889
Nevada,North Las Vegas,"North Las Vegas, Nevada",37.4,14.8,38.1,0.889
California,Ontario,"Ontario, California",37.4,9.5,49.1,0.889
California,Redwood City,"Redwood City, California",37.4,9.2,49.1,0.889
California,Lancaster,"Lancaster, California",37.3,11.5,49.1,0.889
California,Long Beach,"Long Beach, California",37.2,13.4,49.1,0.889
California,Temecula,"Temecula, California",37.2,9.2,49.1,0.889
California,Pomona,"Pomona, California",37.1,11.6,49.1,0.889
Washington,Yakima,"Yakima, Washington",37.1,12.5,27,0.889
California,Compton,"Compton, California",37,13.4,49.1,0.889
California,El Monte,"El Monte, California",36.9,9.4,49.1,0.889
California,Carson,"Carson, California",36.7,12.4,49.1,0.889
California,Richmond,"Richmond, California",36.7,11.6,49.1,0.889
