StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017
Ohio,Cleveland,"Cleveland, Ohio",42.1,17.8,35.5
Michigan,Flint,"Flint, Michigan",44,17.5,35.4
Ohio,Dayton,"Dayton, Ohio",40.1,17.5,35.5
Michigan,Detroit,"Detroit, Michigan",48.5,17.4,35.4
Ohio,Cincinnati,"Cincinnati, Ohio",42.8,17.3,35.5
Virginia,Norfolk,"Norfolk, Virginia",42.4,17,29.7
Alabama,Mobile,"Mobile, Alabama",40.2,17,38.3
Tennessee,Nashville,"Nashville, Tennessee",35.2,16.9,36.9
New York,Syracuse,"Syracuse, New York",38,16.6,32.6
Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania",41.4,16.3,40.7
Kentucky,Louisville,"Louisville, Kentucky",38.4,16.2,39.1
Louisiana,New Orleans,"New Orleans, Louisiana",38.9,16.1,35
New York,Rochester,"Rochester, New York",40.3,15.9,32.6
Virginia,Richmond,"Richmond, Virginia",39.8,15.9,29.7
Alabama,Huntsville,"Huntsville, Alabama",37.7,15.9,38.3
