StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017
Florida,Miami Beach,"Miami Beach, Florida",40.2,7.4,36.9
California,Alhambra,"Alhambra, California",35.2,7.7,49.1
Florida,Hialeah,"Hialeah, Florida",34.2,7.8,36.9
Georgia,Johns Creek,"Johns Creek, Georgia",40.6,7.8,37.2
Texas,Sugar Land,"Sugar Land, Texas",32.6,7.8,32.9
California,Daly City,"Daly City, California",34.7,8,49.1
California,Milpitas,"Milpitas, California",30.1,8,49.1
Minnesota,Plymouth,"Plymouth, Minnesota",28.8,8,31.6
California,Redondo Beach,"Redondo Beach, California",31.3,8.3,49.1
California,Westminster,"Westminster, California",34.3,8.3,49.1
