StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017
Colorado,Boulder,"Boulder, Colorado",25.9,11.2,36.4
Kansas,Olathe,"Olathe, Kansas",26,10.1,32.6
Colorado,Longmont,"Longmont, Colorado",26.2,9.7,36.4
California,Santa Barbara,"Santa Barbara, California",26.5,9.7,49.1
Colorado,Lakewood,"Lakewood, Colorado",26.8,10.2,36.4
South Dakota,Rapid City,"Rapid City, South Dakota",26.8,10.4,31.6
Colorado,Arvada,"Arvada, Colorado",26.8,11.2,36.4
Idaho,Boise City,"Boise City, Idaho",27.5,10.8,27.4
Montana,Missoula,"Missoula, Montana",27.8,10.3,30.8
Colorado,Denver,"Denver, Colorado",28.1,13.7,36.4
