stateFIPS,State,countyFIPS,County,Year,Value,Region,Absolute Threshold,Emissions Scenario
6,California,6007,Butte,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6017,El Dorado,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6019,Fresno,2020,4,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6021,Glenn,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6025,Imperial,2020,64,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6027,Inyo,2020,5,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6029,Kern,2020,20,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6031,Kings,2020,2,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6037,Los Angeles,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6039,Madera,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6047,Merced,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6061,Placer,2020,2,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6065,Riverside,2020,11,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6071,San Bernardino,2020,3,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6089,Shasta,2020,6,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6099,Stanislaus,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6101,Sutter,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6103,Tehama,2020,4,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6107,Tulare,2020,3,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
6,California,6115,Yuba,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
30,Montana,30017,Custer,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
32,Nevada,32003,Clark,2020,39,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
32,Nevada,32023,Nye,2020,9,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
49,Utah,49019,Grand,2020,1,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
49,Utah,49045,Tooele,2020,2,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
49,Utah,49053,Washington,2020,6,1,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4003,Cochise,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4007,Gila,2020,3,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4009,Graham,2020,5,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4011,Greenlee,2020,2,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4012,La Paz,2020,73,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4013,Maricopa,2020,66,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4015,Mohave,2020,48,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4019,Pima,2020,31,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4021,Pinal,2020,52,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
4,Arizona,4027,Yuma,2020,88,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
35,New Mexico,35013,Dona Ana,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
35,New Mexico,35015,Eddy,2020,2,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
35,New Mexico,35025,Lea,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
35,New Mexico,35037,Quay,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
35,New Mexico,35051,Sierra,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40001,Adair,2020,7,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40003,Alfalfa,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40005,Atoka,2020,15,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40007,Beaver,2020,3,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40009,Beckham,2020,7,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40011,Blaine,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40013,Bryan,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40015,Caddo,2020,17,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40017,Canadian,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40019,Carter,2020,32,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40021,Cherokee,2020,12,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40023,Choctaw,2020,14,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40027,Cleveland,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40029,Coal,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40031,Comanche,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40033,Cotton,2020,22,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40035,Craig,2020,13,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40037,Creek,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40039,Custer,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40041,Delaware,2020,10,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40043,Dewey,2020,9,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40045,Ellis,2020,5,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40047,Garfield,2020,26,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40049,Garvin,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40051,Grady,2020,19,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40053,Grant,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40055,Greer,2020,17,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40057,Harmon,2020,12,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40059,Harper,2020,11,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40061,Haskell,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40063,Hughes,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40065,Jackson,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40067,Jefferson,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40069,Johnston,2020,27,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40071,Kay,2020,22,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40073,Kingfisher,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40075,Kiowa,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40077,Latimer,2020,12,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40079,Le Flore,2020,15,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40081,Lincoln,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40083,Logan,2020,29,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40085,Love,2020,30,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40087,McClain,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40089,McCurtain,2020,7,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40091,McIntosh,2020,25,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40093,Major,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40095,Marshall,2020,29,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40097,Mayes,2020,19,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40099,Murray,2020,22,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40101,Muskogee,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40103,Noble,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40105,Nowata,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40107,Okfuskee,2020,17,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40109,Oklahoma,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40111,Okmulgee,2020,12,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40113,Osage,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40115,Ottawa,2020,10,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40117,Pawnee,2020,19,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40119,Payne,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40121,Pittsburg,2020,29,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40123,Pontotoc,2020,23,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40125,Pottawatomie,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40127,Pushmataha,2020,10,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40129,Roger Mills,2020,6,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40131,Rogers,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40133,Seminole,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40135,Sequoyah,2020,13,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40137,Stephens,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40139,Texas,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40141,Tillman,2020,24,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40143,Tulsa,2020,23,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40145,Wagoner,2020,21,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40147,Washington,2020,19,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40149,Washita,2020,15,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40151,Woods,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
40,Oklahoma,40153,Woodward,2020,11,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48001,Anderson,2020,26,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48003,Andrews,2020,7,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48005,Angelina,2020,25,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48007,Aransas,2020,126,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48009,Archer,2020,30,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48013,Atascosa,2020,40,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48015,Austin,2020,25,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48019,Bandera,2020,6,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48021,Bastrop,2020,34,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48023,Baylor,2020,23,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48025,Bee,2020,50,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48027,Bell,2020,26,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48029,Bexar,2020,58,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48031,Blanco,2020,8,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48033,Borden,2020,3,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48035,Bosque,2020,23,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48037,Bowie,2020,27,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48039,Brazoria,2020,76,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48041,Brazos,2020,49,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48043,Brewster,2020,3,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48045,Briscoe,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48047,Brooks,2020,60,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48049,Brown,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48051,Burleson,2020,47,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48053,Burnet,2020,17,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48055,Caldwell,2020,31,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48057,Calhoun,2020,113,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48059,Callahan,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48061,Cameron,2020,106,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48063,Camp,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48067,Cass,2020,20,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48071,Chambers,2020,71,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48073,Cherokee,2020,27,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48075,Childress,2020,16,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48077,Clay,2020,25,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48081,Coke,2020,7,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48083,Coleman,2020,8,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48085,Collin,2020,36,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48087,Collingsworth,2020,8,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48089,Colorado,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48091,Comal,2020,23,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48093,Comanche,2020,13,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48095,Concho,2020,9,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48097,Cooke,2020,31,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48099,Coryell,2020,18,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48101,Cottle,2020,13,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48103,Crane,2020,25,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48105,Crockett,2020,9,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48107,Crosby,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48109,Culberson,2020,5,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48113,Dallas,2020,56,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48119,Delta,2020,27,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48121,Denton,2020,44,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48123,DeWitt,2020,37,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48125,Dickens,2020,5,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48127,Dimmit,2020,70,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48129,Donley,2020,1,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48131,Duval,2020,51,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48133,Eastland,2020,12,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48135,Ector,2020,6,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48137,Edwards,2020,3,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48139,Ellis,2020,39,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48141,El Paso,2020,6,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48143,Erath,2020,11,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
48,Texas,48145,Falls,2020,39,2,Absolute Threshold: 75 degrees F,Emissions Scenario: Low Emissions (B1)
