State,County,State_County,Year,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,Alabama Baldwin,2017,36,0,0,206,0,64,0
Alabama,Clay,Alabama Clay,2017,30,0,0,0,0,118,0
Alabama,Colbert,Alabama Colbert,2017,37,0,0,218,0,65,0
Alabama,DeKalb,Alabama DeKalb,2017,39,0,0,315,0,44,0
Alabama,Elmore,Alabama Elmore,2017,35,0,0,226,0,0,0
Alabama,Etowah,Alabama Etowah,2017,45,0,0,133,0,227,0
Alabama,Houston,Alabama Houston,2017,35,0,0,203,0,78,0
Alabama,Jefferson,Alabama Jefferson,2017,55,0,2,85,70,207,1
Alabama,Lawrence,Alabama Lawrence,2017,23,0,0,0,0,122,0
Alabama,Madison,Alabama Madison,2017,39,0,0,230,0,52,54
Alabama,Mobile,Alabama Mobile,2017,37,0,0,191,5,167,0
Alabama,Montgomery,Alabama Montgomery,2017,45,0,0,119,0,227,0
Alabama,Morgan,Alabama Morgan,2017,39,0,0,184,0,180,0
Alabama,Russell,Alabama Russell,2017,44,0,0,173,0,138,0
Alabama,Shelby,Alabama Shelby,2017,31,0,0,232,121,0,0
Alabama,Sumter,Alabama Sumter,2017,34,0,0,183,0,167,0
Alabama,Talladega,Alabama Talladega,2017,33,0,0,0,0,116,0
Alabama,Tuscaloosa,Alabama Tuscaloosa,2017,52,0,0,64,0,286,0
Alaska,Aleutians East ,Alaska Aleutians East ,2017,9,0,0,0,0,118,0
Alaska,Anchorage ,Alaska Anchorage ,2017,22,6,0,0,0,208,151
Alaska,Denali ,Alaska Denali ,2017,34,0,0,357,0,3,0
Alaska,Fairbanks North Star ,Alaska Fairbanks North Star ,2017,38,0,11,111,1,242,0
Alaska,Juneau ,Alaska Juneau ,2017,15,0,0,0,0,353,3
Alaska,Kenai Peninsula ,Alaska Kenai Peninsula ,2017,6,0,0,0,0,67,0
Alaska,Matanuska-Susitna ,Alaska Matanuska-Susitna ,2017,30,0,0,221,0,119,25
Arizona,Apache,Arizona Apache,2017,14,0,0,0,0,33,332
Arizona,Cochise,Arizona Cochise,2017,44,0,0,302,0,10,53
Arizona,Coconino,Arizona Coconino,2017,45,0,0,355,0,10,0
Arizona,Gila,Arizona Gila,2017,84,0,0,93,256,0,16
Arizona,La Paz,Arizona La Paz,2017,43,0,0,342,0,13,3
Arizona,Maricopa,Arizona Maricopa,2017,71,0,20,203,1,54,87
Arizona,Mohave,Arizona Mohave,2017,17,0,0,0,0,32,323
Arizona,Navajo,Arizona Navajo,2017,44,0,0,350,0,0,15
Arizona,Pima,Arizona Pima,2017,53,0,0,207,0,36,122
Arizona,Pinal,Arizona Pinal,2017,75,0,0,119,0,38,208
Arizona,Santa Cruz,Arizona Santa Cruz,2017,33,0,0,0,0,181,184
Arizona,Yavapai,Arizona Yavapai,2017,46,0,0,326,0,14,0
Arizona,Yuma,Arizona Yuma,2017,45,0,0,209,0,50,106
Arkansas,Arkansas,Arkansas Arkansas,2017,30,0,0,0,0,113,0
Arkansas,Ashley,Arkansas Ashley,2017,33,0,0,0,0,121,0
Arkansas,Clark,Arkansas Clark,2017,34,0,0,358,0,0,0
Arkansas,Crittenden,Arkansas Crittenden,2017,42,0,7,181,0,177,0
Arkansas,Garland,Arkansas Garland,2017,34,0,0,0,0,121,0
