State,County,State_Couinty,Year,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,Baldwin,Alabama Baldwin,2018,35,0,0,214,0,56,0
Alabama,Clay,Alabama Clay,2018,27,0,0,0,0,110,0
Alabama,Colbert,Alabama Colbert,2018,35,0,0,209,0,68,0
Alabama,DeKalb,Alabama DeKalb,2018,35,0,0,317,0,33,0
Alabama,Elmore,Alabama Elmore,2018,33,0,0,222,0,0,0
Alabama,Etowah,Alabama Etowah,2018,41,0,0,179,0,145,0
Alabama,Houston,Alabama Houston,2018,35,0,0,211,0,66,0
Alabama,Jefferson,Alabama Jefferson,2018,51,0,1,106,32,223,3
Alabama,Lawrence,Alabama Lawrence,2018,23,0,0,0,0,118,0
Alabama,Madison,Alabama Madison,2018,41,0,0,130,0,234,1
Alabama,Mobile,Alabama Mobile,2018,38,0,0,150,13,202,0
Alabama,Montgomery,Alabama Montgomery,2018,52,0,0,43,0,281,0
Alabama,Morgan,Alabama Morgan,2018,37,0,0,176,0,188,0
Alabama,Russell,Alabama Russell,2018,39,0,0,115,0,249,0
Alabama,Shelby,Alabama Shelby,2018,31,0,0,232,131,0,0
Alabama,Sumter,Alabama Sumter,2018,29,0,0,222,13,130,0
Alabama,Tuscaloosa,Alabama Tuscaloosa,2018,37,0,0,195,0,125,0
Alaska,Aleutians East ,Alaska Aleutians East ,2018,10,0,0,0,0,120,0
Alaska,Anchorage ,Alaska Anchorage ,2018,24,2,0,0,0,259,104
Alaska,Bethel ,Alaska Bethel ,2018,15,0,0,0,0,142,60
Alaska,Denali ,Alaska Denali ,2018,35,0,0,363,0,1,0
Alaska,Fairbanks North Star ,Alaska Fairbanks North Star ,2018,34,0,28,113,2,217,5
Alaska,Juneau ,Alaska Juneau ,2018,23,0,0,0,0,348,4
Alaska,Kenai Peninsula ,Alaska Kenai Peninsula ,2018,8,0,0,0,0,120,0
Alaska,Matanuska-Susitna ,Alaska Matanuska-Susitna ,2018,27,0,0,221,0,122,22
Arizona,Apache,Arizona Apache,2018,12,0,0,0,0,32,326
Arizona,Cochise,Arizona Cochise,2018,44,0,0,313,0,18,34
Arizona,Coconino,Arizona Coconino,2018,45,0,0,358,0,7,0
Arizona,Gila,Arizona Gila,2018,71,0,0,161,188,0,16
Arizona,La Paz,Arizona La Paz,2018,44,0,0,351,0,7,6
Arizona,Maricopa,Arizona Maricopa,2018,71,0,15,184,0,61,105
Arizona,Mohave,Arizona Mohave,2018,18,0,0,0,0,33,330
Arizona,Navajo,Arizona Navajo,2018,44,0,0,353,0,2,8
Arizona,Pima,Arizona Pima,2018,49,0,0,255,0,31,79
Arizona,Pinal,Arizona Pinal,2018,67,0,0,131,0,23,211
Arizona,Santa Cruz,Arizona Santa Cruz,2018,31,0,0,0,0,220,145
Arizona,Yavapai,Arizona Yavapai,2018,43,0,0,363,0,2,0
Arizona,Yuma,Arizona Yuma,2018,45,0,0,235,0,33,97
Arkansas,Arkansas,Arkansas Arkansas,2018,33,0,0,0,0,118,0
Arkansas,Ashley,Arkansas Ashley,2018,29,0,0,0,0,121,0
Arkansas,Clark,Arkansas Clark,2018,31,0,0,361,0,0,0
Arkansas,Craighead,Arkansas Craighead,2018,35,0,0,0,0,90,0
Arkansas,Crittenden,Arkansas Crittenden,2018,40,0,7,187,0,171,0
Arkansas,Garland,Arkansas Garland,2018,31,0,0,0,0,121,0
Arkansas,Jackson,Arkansas Jackson,2018,31,0,0,0,0,122,0
Arkansas,Newton,Arkansas Newton,2018,35,0,0,352,0,12,0
Arkansas,Polk,Arkansas Polk,2018,38,0,0,311,0,52,0
Arkansas,Pulaski,Arkansas Pulaski,2018,43,0,1,146,0,218,0
Arkansas,Union,Arkansas Union,2018,37,0,0,0,0,365,0
Arkansas,Washington,Arkansas Washington,2018,42,0,0,216,0,149,0
California,Alameda,California Alameda,2018,51,0,10,72,0,283,0
California,Amador,California Amador,2018,40,0,0,364,0,0,0
California,Butte,California Butte,2018,54,0,0,203,0,161,1
California,Calaveras,California Calaveras,2018,53,0,0,141,0,223,0
California,Colusa,California Colusa,2018,42,0,0,176,0,155,34
California,Contra Costa,California Contra Costa,2018,48,0,1,107,1,256,0
California,Del Norte,California Del Norte,2018,25,0,0,0,0,180,0
California,El Dorado,California El Dorado,2018,45,0,0,353,0,3,9
California,Fresno,California Fresno,2018,74,0,3,231,0,121,10
California,Glenn,California Glenn,2018,36,0,0,154,0,136,73
California,Humboldt,California Humboldt,2018,34,0,2,251,0,94,18
California,Imperial,California Imperial,2018,62,0,7,129,0,100,129
California,Inyo,California Inyo,2018,48,0,0,311,0,20,34
California,Kern,California Kern,2018,84,0,0,246,0,106,13
California,Kings,California Kings,2018,69,0,0,186,0,123,56
California,Lake,California Lake,2018,33,0,0,344,0,11,2
California,Los Angeles,California Los Angeles,2018,76,0,32,175,0,157,1
California,Madera,California Madera,2018,56,0,0,210,0,120,35
California,Marin,California Marin,2018,36,0,22,135,0,208,0
California,Mariposa,California Mariposa,2018,50,0,0,265,0,100,0
California,Mendocino,California Mendocino,2018,37,0,0,151,0,209,4
California,Merced,California Merced,2018,51,0,1,196,0,167,1
California,Mono,California Mono,2018,23,0,0,0,0,218,147
California,Monterey,California Monterey,2018,38,0,1,212,0,93,59
California,Napa,California Napa,2018,39,1,1,165,0,196,1
California,Nevada,California Nevada,2018,44,0,0,327,0,36,0
California,Orange,California Orange,2018,50,0,25,192,0,145,3
California,Placer,California Placer,2018,50,0,1,297,0,65,2
California,Plumas,California Plumas,2018,35,0,0,0,0,350,0
California,Riverside,California Riverside,2018,87,0,1,232,0,89,43
California,Sacramento,California Sacramento,2018,54,0,1,202,0,157,5
California,San Benito,California San Benito,2018,41,0,0,321,0,43,1
California,San Bernardino,California San Bernardino,2018,88,0,20,215,0,126,4
California,San Diego,California San Diego,2018,64,0,1,202,0,162,0
California,San Francisco,California San Francisco,2018,37,1,34,126,0,203,1
California,San Joaquin,California San Joaquin,2018,54,0,1,154,0,204,6
California,San Luis Obispo,California San Luis Obispo,2018,49,0,0,234,0,92,39
California,San Mateo,California San Mateo,2018,36,0,22,138,0,205,0
California,Santa Barbara,California Santa Barbara,2018,47,0,0,266,0,86,13
California,Santa Clara,California Santa Clara,2018,44,0,7,166,0,192,0
California,Santa Cruz,California Santa Cruz,2018,36,0,0,221,0,144,0
California,Shasta,California Shasta,2018,43,0,0,343,0,21,1
California,Siskiyou,California Siskiyou,2018,41,0,0,241,0,124,0
California,Solano,California Solano,2018,42,0,3,184,0,178,0
California,Sonoma,California Sonoma,2018,36,0,2,280,0,82,1
California,Stanislaus,California Stanislaus,2018,54,0,2,203,0,151,9
California,Sutter,California Sutter,2018,54,0,0,166,0,198,1
California,Tehama,California Tehama,2018,45,0,0,239,0,126,0
California,Trinity,California Trinity,2018,44,0,0,0,0,291,0
California,Tulare,California Tulare,2018,77,0,0,233,0,124,8
California,Tuolumne,California Tuolumne,2018,43,0,0,348,0,0,0
California,Ventura,California Ventura,2018,52,0,2,213,0,138,12
California,Yolo,California Yolo,2018,43,0,0,249,0,114,2
Colorado,Adams,Colorado Adams,2018,49,0,59,146,0,95,65
Colorado,Alamosa,Colorado Alamosa,2018,19,0,0,0,0,25,335
Colorado,Arapahoe,Colorado Arapahoe,2018,45,0,0,354,0,11,0
Colorado,Archuleta,Colorado Archuleta,2018,38,0,0,331,0,0,34
Colorado,Boulder,Colorado Boulder,2018,46,0,0,285,0,77,0
Colorado,Chaffee,Colorado Chaffee,2018,58,0,0,164,0,0,0
Colorado,Clear Creek,Colorado Clear Creek,2018,51,0,0,291,0,0,0
Colorado,Delta,Colorado Delta,2018,35,0,1,213,0,43,40
Colorado,Denver,Colorado Denver,2018,51,0,147,142,0,76,0
Colorado,Douglas,Colorado Douglas,2018,46,0,0,302,0,62,0
Colorado,El Paso,Colorado El Paso,2018,46,0,0,329,0,36,0
Colorado,Fremont,Colorado Fremont,2018,15,0,0,0,0,0,20
Colorado,Garfield,Colorado Garfield,2018,48,0,0,362,0,2,1
Colorado,Grand,Colorado Grand,2018,47,0,0,166,0,0,0
Colorado,Gunnison,Colorado Gunnison,2018,47,0,0,354,0,0,11
Colorado,Jackson,Colorado Jackson,2018,7,0,0,0,0,116,0
Colorado,Jefferson,Colorado Jefferson,2018,46,0,0,365,0,0,0
Colorado,La Plata,Colorado La Plata,2018,45,0,0,330,0,32,3
Colorado,Larimer,Colorado Larimer,2018,50,0,0,322,0,43,0
Colorado,Mesa,Colorado Mesa,2018,46,1,0,301,0,62,1
Colorado,Moffat,Colorado Moffat,2018,42,0,0,331,0,0,0
Colorado,Montezuma,Colorado Montezuma,2018,44,0,0,356,0,3,0
Colorado,Montrose,Colorado Montrose,2018,42,0,0,326,0,0,0
Colorado,Park,Colorado Park,2018,51,0,0,323,0,1,0
Colorado,Pitkin,Colorado Pitkin,2018,14,0,0,0,0,31,92
Colorado,Prowers,Colorado Prowers,2018,16,0,0,0,0,0,359
Colorado,Pueblo,Colorado Pueblo,2018,23,0,0,0,0,84,39
Colorado,Rio Blanco,Colorado Rio Blanco,2018,45,0,0,329,0,36,0
Colorado,Routt,Colorado Routt,2018,15,0,0,0,0,0,355
Colorado,San Juan,Colorado San Juan,2018,8,0,0,0,0,118,0
Colorado,San Miguel,Colorado San Miguel,2018,46,0,0,181,0,0,57
Colorado,Teller,Colorado Teller,2018,58,0,0,160,0,0,0
Colorado,Weld,Colorado Weld,2018,50,0,0,264,0,100,1
Connecticut,Fairfield,Connecticut Fairfield,2018,41,0,21,196,0,148,0
Connecticut,Hartford,Connecticut Hartford,2018,37,0,24,193,0,145,3
Connecticut,Litchfield,Connecticut Litchfield,2018,36,2,0,327,0,34,0
Connecticut,Middlesex,Connecticut Middlesex,2018,40,0,0,208,0,0,0
Connecticut,New Haven,Connecticut New Haven,2018,40,0,29,205,0,131,0
Connecticut,New London,Connecticut New London,2018,35,0,0,189,0,126,0
Connecticut,Tolland,Connecticut Tolland,2018,38,0,0,213,0,0,0
Connecticut,Windham,Connecticut Windham,2018,34,0,0,358,0,0,0
