State,County,Year,Max AQI,Median AQI,Region,Median_By_State
Alaska,Anchorage ,1990,159,44,1,24
Alaska,Denali ,1990,62,31,1,24
Alaska,Fairbanks North Star ,1990,140,36,1,24
Alaska,Juneau ,1990,152,21,1,24
Alaska,Kenai Peninsula ,1990,297,9,1,24
Alaska,Ketchikan Gateway ,1990,24,8,1,24
Alaska,Sitka ,1990,126,18,1,24
California,Alameda,1990,200,38,1,49
California,Butte,1990,174,40,1,49
California,Colusa,1990,70,31,1,49
California,Contra Costa,1990,200,44,1,49
California,Del Norte,1990,67,30,1,49
California,El Dorado,1990,133,51,1,49
California,Fresno,1990,213,84,1,49
California,Glenn,1990,151,33,1,49
California,Humboldt,1990,65,14,1,49
California,Imperial,1990,152,38,1,49
California,Inyo,1990,762,23,1,49
California,Kern,1990,347,100,1,49
California,Kings,1990,319,46,1,49
California,Lake,1990,77,27,1,49
California,Los Angeles,1990,276,119,1,49
California,Madera,1990,182,40,1,49
California,Marin,1990,81,32,1,49
California,Mariposa,1990,177,49,1,49
California,Mendocino,1990,53,19,1,49
California,Merced,1990,129,39,1,49
California,Mono,1990,164,45,1,49
California,Monterey,1990,133,39,1,49
California,Napa,1990,105,33,1,49
California,Nevada,1990,210,46,1,49
California,Orange,1990,239,79,1,49
California,Placer,1990,234,51,1,49
California,Plumas,1990,92,24,1,49
California,Riverside,1990,416,103,1,49
California,Sacramento,1990,203,67,1,49
California,San Benito,1990,172,44,1,49
California,San Bernardino,1990,364,119,1,49
California,San Diego,1990,242,103,1,49
California,San Francisco,1990,106,32,1,49
California,San Joaquin,1990,192,47,1,49
California,San Luis Obispo,1990,200,56,1,49
California,San Mateo,1990,105,38,1,49
California,Santa Barbara,1990,238,68,1,49
California,Santa Clara,1990,177,47,1,49
California,Santa Cruz,1990,133,32,1,49
California,Shasta,1990,205,43,1,49
California,Siskiyou,1990,119,32,1,49
California,Solano,1990,156,38,1,49
California,Sonoma,1990,108,35,1,49
California,Stanislaus,1990,205,57,1,49
California,Sutter,1990,143,37,1,49
California,Tehama,1990,187,42,1,49
California,Tulare,1990,210,84,1,49
California,Tuolumne,1990,136,39,1,49
California,Ventura,1990,240,74,1,49
California,Yolo,1990,200,40,1,49
California,Yuba,1990,63,28,1,49
Colorado,Adams,1990,113,42,1,29
Colorado,Alamosa,1990,87,42,1,29
Colorado,Arapahoe,1990,151,41,1,29
Colorado,Archuleta,1990,54,19,1,29
Colorado,Boulder,1990,147,40,1,29
Colorado,Delta,1990,86,27,1,29
Colorado,Denver,1990,147,49,1,29
Colorado,Douglas,1990,54,16,1,29
Colorado,Eagle,1990,51,18,1,29
Colorado,El Paso,1990,113,51,1,29
Colorado,Fremont,1990,45,16,1,29
Colorado,Garfield,1990,59,28,1,29
Colorado,Gunnison,1990,105,44,1,29
Colorado,Jefferson,1990,177,40,1,29
Colorado,La Plata,1990,80,32,1,29
Colorado,Larimer,1990,154,39,1,29
Colorado,Lincoln,1990,51,14,1,29
Colorado,Logan,1990,51,20,1,29
Colorado,Mesa,1990,77,36,1,29
Colorado,Montezuma,1990,55,15,1,29
Colorado,Pitkin,1990,71,24,1,29
Colorado,Prowers,1990,43,17,1,29
Colorado,Pueblo,1990,61,23,1,29
Colorado,Routt,1990,105,26,1,29
Colorado,San Juan,1990,63,12,1,29
Colorado,San Miguel,1990,82,29,1,29
Colorado,Teller,1990,21,6,1,29
Colorado,Weld,1990,156,40,1,29
Hawaii,Hawaii,1990,200,25,1,19
Hawaii,Honolulu,1990,54,16,1,19
Hawaii,Kauai,1990,29,15,1,19
Hawaii,Maui,1990,39,18,1,19
Idaho,Ada,1990,87,45,1,31
Idaho,Bannock,1990,200,44,1,31
Idaho,Blaine,1990,43,13,1,31
Idaho,Bonner,1990,132,25,1,31
Idaho,Bonneville,1990,57,22,1,31
Idaho,Caribou,1990,177,34,1,31
Idaho,Clearwater,1990,74,29,1,31
Idaho,Kootenai,1990,107,28,1,31
Idaho,Lemhi,1990,92,54,1,31
Idaho,Nez Perce,1990,93,26,1,31
Idaho,Shoshone,1990,94,31,1,31
